diario|snippet|time|title|svm_prediction|year|id_news
El Universo| Así nace la idea de construir una escuela con materiales de reciclaje (usaron 200 ... del agua le dio un reconocimiento a Ecuador en los Premios Latinoamérica ...|17 ago. 2018 -|Microrredes de energía, una ruta de mariposas y una escuela de ...|educ||
El Universo|La dotación de alimentos escolares llegan a las escuelas y colegios a escala ... en la escuela · El 52% de escuelas de Ecuador es unidocente y bidocente. Tags.|18 oct. 2018 -|Gobierno analiza cambios en el Programa de Alimentación Escolar; la ...|educ||
El Universo|El cronograma académico en el régimen Costa para el año lectivo 2019-2020 se iniciará el 8 de abril de 2019. Las clases empezarán una semana antes en ...|8 nov. 2018 -|Las clases del 2019 en el régimen Costa se iniciarán el 8 de abril|educ||
El Universo|Las organizaciones afroesmeraldeñas propusieron que en Esmeraldas se creen 10 escuelas guardianas de los saberes ancestrales, que conserven la cultura ...|12 dic. 2017 -|Los saberes afro se fomentan en las escuelas|educ||
El Universo| El contrato con la empresa consistía en la fabricación de 200 escuelas prefabricadas, que incluían ensamblaje, instalación y puesta en operación, por un monto ...|13 jul. 2018 -|Educación termina contrato con China Railway N° 9 para construcción ...|educ||
El Universo|Desde el 2007 hasta mayo del 2018 hubo 1 027 casos de este tipo en todo el Ecuador. 13 planteles educativos han sido intervenidos en dos años por casos de ...|5 dic. 2018 -|Un alumno de un colegio de Chone agredió a su compañera de aula ...|educ||
El Universo|Tiene 54 años y su mayor sueño es terminar la escuela y el colegio. El primer paso es aprender a leer y a escribir. Por eso se inscribió en el programa 'Todos ...|13 ene. 2018 -|Los sábados, adultos mayores van a clases para concluir su ...|educ||
El Universo|58 alumnos y tres maestros de una escuela de Riobamba se intoxicaron en un agasajo navideño ... docentes de la escuela|15 dic. 2017 -|58 alumnos y tres maestros de una escuela de Riobamba se ...|educ||
El Universo|Los estudiantes volvieron a recorrer las calles de Jama, luego de casi cinco meses de ausencia. En este cantón manabita las clases comenzaron ayer, debido ...|5 jul. 2016 -|17 de las 26 escuelas provisionales funcionan|educ||
|La creación de la Universidad del Río se encuentra en su fase final tras recibir la aprobación del Consejo de Educación Superior (CES) para ser reconocida ...|22 sep. 2018 -|Universidad del Río, en fase final para creación ... - Guayaquil|educ||
|Las letras de la Universidad de Guayaquil, el primer centro de educación superior de esta ciudad, son ahora parte de la fachada del rectorado. Francisco Verni.|1 dic. 2017 -|Universidad de Guayaquil, la más poblada, llega a los 150 años tras ...|educ||
|La creación de las universidades en Santo Domingo de los Tsáchilas y en la Amazonía se viabilizó a través de una Ley Reformatoria a la Ley Orgánica de ...|11 ago. 2018 -|"Santo Domingo tendrá nueva universidad después de 2019 | Política ..."|educ||
|La reforma a la ley convierte a Amawtay Wasy en una universidad “comunitaria”; antes era “particular autofinanciada”. Su promotora será la Secretaría Nacional ...|9 jul. 2018 -|"Universidad indígena aún no existe, y ya tiene sede | Ecuador ..."|educ||
|El Gobierno buscará que la Universidad Técnica Federico Santa María (USM), campus Guayaquil, no desaparezca y siga con su proyecto de creación de la ...|22 feb. 2018 -|Gobierno buscará que la Universidad Santa María no cierre ...|educ||
|El Consejo de Educación Superior (CES) determinó anoche la intervención integral de la Universidad de Guayaquil por un periodo de 90 días, tiempo que es ...|16 oct. 2018 -|CES interviene la Universidad de Guayaquil por segunda vez en ...|educ||
